video_id,clip_id,text,label,annotation,mode,label_by
1_70,0,i don t think i ll be able to stop thinking about it,1.0,Positive,train,0
1_276,0,yeah my parents felt that naming me leonard and putting me in advanced placement classes wasn t getting me beaten up enough,1.0,Positive,train,0
1_340,0,sure cut the foreigner in half there s a billion more where he came from,1.0,Positive,train,0
1_410,0,leonard may i present live from new delhi dr and mrs v m koothrappali,-1.0,Negative,train,0
1_430,0,i ve got some feelers out in the meantime listen to this,-1.0,Negative,train,0
1_533,0,technically yes but if you ll notice it s reversible,-1.0,Negative,train,0
1_537,0,oh you know that is so weird that yours came and mine didn t,1.0,Positive,train,0
1_1001,0,what else sell it on ebay as slightly used,-1.0,Negative,train,0
1_1185,0,i think tonight was a very good start,-1.0,Negative,train,0
1_1470,0,i don t know it just died i m getting a bunch of static,-1.0,Negative,train,0
1_1627,0,what do you think i did i discreetly slipped off the other earring put it in my pocket and then got the hell out of there,-1.0,Negative,train,0
1_1638,0,the blunt instrument that will be the focus of my murder trial,1.0,Positive,train,0
1_1666,0,would it work if i just punched you in the face,-1.0,Negative,train,0
1_1678,0,answering the question once and for all why wolowitz bailed out of medical school,-1.0,Negative,train,0
1_1732,0,you were right your larynx is terribly inflamed i ve never seen anything like it,1.0,Positive,train,0
1_1798,0,if you don t like this stuff let s go next door and build her a bear,1.0,Positive,train,0
1_1803,0,- maybe i heard you wrong a lot of words sound like yoga,1.0,Positive,train,0
1_1931,0,why don t you just lie down on the floor and swim there,1.0,Positive,train,0
1_1973,0,i hope i m a waitress at the cheesecake factory for my whole life,1.0,Positive,train,0
1_1987,0,when i didn t pay my bill the department of water and power thought i would enjoy the ambience,1.0,Positive,train,0
1_2075,0,there s no hurry tell them more about their secret love for each other,-1.0,Negative,train,0
1_2119,0,kind of makes you feel more alive doesn t it,1.0,Positive,train,0
1_2216,0,excuse me but what about me why don t i get a shot,-1.0,Negative,train,0
1_2361,0,thank you so much for giving me the opportunity to help,-1.0,Negative,train,0
1_2420,0,you know this can go on all night why don t you just come with us,-1.0,Negative,train,0
1_2464,0,you think coffee means coffee that is so sweet,1.0,Positive,train,0
1_2614,0,hardly a day goes by when i don t think about it,1.0,Positive,train,0
1_2616,0,sure maybe a tableau of me trying to pummel you to death,1.0,Positive,train,0
