,p,r,f,acc
0,0.6412021857923498,0.6397058823529411,0.6387488480511736,0.6397058823529411
1,0.6511111111111111,0.6176470588235294,0.5952380952380951,0.6176470588235294
2,0.6478260869565218,0.6323529411764706,0.622473906284699,0.6323529411764706
3,0.6043859649122807,0.6029411764705882,0.6015625,0.6029411764705882
4,0.6114754098360655,0.6102941176470589,0.6092589580961674,0.6102941176470589
count,5.0,5.0,5.0,5.0
mean,0.6312001517216659,0.6205882352941177,0.613456461534027,0.6205882352941177
std,0.02168510300007268,0.015247383348035068,0.01740699106782003,0.015247383348035068
min,0.6043859649122807,0.6029411764705882,0.5952380952380951,0.6029411764705882
25%,0.6114754098360655,0.6102941176470589,0.6015625,0.6102941176470589
50%,0.6412021857923498,0.6176470588235294,0.6092589580961674,0.6176470588235294
75%,0.6478260869565218,0.6323529411764706,0.622473906284699,0.6323529411764706
max,0.6511111111111111,0.6397058823529411,0.6387488480511736,0.6397058823529411
