,p,r,f,acc
0,0.622854561878952,0.6176470588235294,0.613551912568306,0.6176470588235294
1,0.61963406052076,0.6102941176470589,0.6025365315687896,0.6102941176470589
2,0.6348136399682791,0.6102941176470588,0.5917303879920701,0.6102941176470589
3,0.6132578281145902,0.6102941176470589,0.6077278911564625,0.6102941176470589
4,0.6517857142857143,0.6470588235294118,0.6442894507410637,0.6470588235294118
count,5.0,5.0,5.0,5.0
mean,0.6284691609536591,0.6191176470588236,0.6119672348053384,0.6191176470588236
std,0.015205931757241813,0.015940796609322655,0.01977167806270437,0.01594079660932264
min,0.6132578281145902,0.6102941176470588,0.5917303879920701,0.6102941176470589
25%,0.61963406052076,0.6102941176470589,0.6025365315687896,0.6102941176470589
50%,0.622854561878952,0.6102941176470589,0.6077278911564625,0.6102941176470589
75%,0.6348136399682791,0.6176470588235294,0.613551912568306,0.6176470588235294
max,0.6517857142857143,0.6470588235294118,0.6442894507410637,0.6470588235294118
