,p,r,f,acc
0,0.6348136399682791,0.6102941176470588,0.5917303879920701,0.6102941176470589
1,0.6324675324675324,0.6323529411764706,0.6322734155310406,0.6323529411764706
2,0.6577533577533577,0.6397058823529411,0.6290977903934992,0.6397058823529411
3,0.6342105263157896,0.6323529411764706,0.6310763888888888,0.6323529411764706
4,0.6550151975683891,0.6323529411764706,0.6184062850729517,0.6323529411764706
count,5.0,5.0,5.0,5.0
mean,0.6428520508146696,0.6294117647058823,0.6205168535756901,0.6294117647058823
std,0.012420963160476469,0.011151287417722876,0.017003441650983532,0.011151287417722828
min,0.6324675324675324,0.6102941176470588,0.5917303879920701,0.6102941176470589
25%,0.6342105263157896,0.6323529411764706,0.6184062850729517,0.6323529411764706
50%,0.6348136399682791,0.6323529411764706,0.6290977903934992,0.6323529411764706
75%,0.6550151975683891,0.6323529411764706,0.6310763888888888,0.6323529411764706
max,0.6577533577533577,0.6397058823529411,0.6322734155310406,0.6397058823529411
