,p,r,f,acc
0,0.6333333333333333,0.625,0.6190476190476191,0.625
1,0.6397361020982046,0.6397058823529411,0.6396864017301973,0.6397058823529411
2,0.6643394199785178,0.6323529411764706,0.6135485337576722,0.6323529411764706
3,0.6674876847290641,0.6544117647058822,0.6475323959194926,0.6544117647058824
4,0.6827439886845827,0.6397058823529411,0.6171655081289136,0.6397058823529411
count,5.0,5.0,5.0,5.0
mean,0.6575281057647405,0.638235294117647,0.6273960917167789,0.638235294117647
std,0.020514448404540395,0.010906174245728878,0.015187487984003378,0.01090617424572892
min,0.6333333333333333,0.625,0.6135485337576722,0.625
25%,0.6397361020982046,0.6323529411764706,0.6171655081289136,0.6323529411764706
50%,0.6643394199785178,0.6397058823529411,0.6190476190476191,0.6397058823529411
75%,0.6674876847290641,0.6397058823529411,0.6396864017301973,0.6397058823529411
max,0.6827439886845827,0.6544117647058822,0.6475323959194926,0.6544117647058824
