,p,r,f,acc
0,0.6602693602693603,0.6544117647058824,0.6512249686255251,0.6544117647058824
1,0.5981567843659783,0.5955882352941176,0.5929251700680271,0.5955882352941176
2,0.5948837209302326,0.5882352941176471,0.5808936825885979,0.5882352941176471
3,0.6496855345911949,0.6029411764705882,0.569317382125264,0.6029411764705882
4,0.5612612612612613,0.5367647058823529,0.4853126689493602,0.5367647058823529
count,5.0,5.0,5.0,5.0
mean,0.6128513322836054,0.5955882352941176,0.575934774471355,0.5955882352941176
std,0.041247812251179065,0.04191821415805655,0.0596616156727275,0.04191821415805655
min,0.5612612612612613,0.5367647058823529,0.4853126689493602,0.5367647058823529
25%,0.5948837209302326,0.5882352941176471,0.569317382125264,0.5882352941176471
50%,0.5981567843659783,0.5955882352941176,0.5808936825885979,0.5955882352941176
75%,0.6496855345911949,0.6029411764705882,0.5929251700680271,0.6029411764705882
max,0.6602693602693603,0.6544117647058824,0.6512249686255251,0.6544117647058824
