,p,r,f,acc
0,0.6585609593604265,0.6544117647058824,0.6521360544217687,0.6544117647058824
1,0.6706908917045182,0.6544117647058824,0.6459706452506231,0.6544117647058824
2,0.6798941798941799,0.6176470588235294,0.5814393939393938,0.6176470588235294
3,0.6503094606542883,0.6470588235294117,0.6451402478799739,0.6470588235294118
4,0.6556776556776557,0.6470588235294117,0.6421052631578947,0.6470588235294118
count,5.0,5.0,5.0,5.0
mean,0.6630266294582137,0.6441176470588235,0.6333583209299307,0.6441176470588236
std,0.01203049438850214,0.015247383348035071,0.029251375098895,0.015247383348035081
min,0.6503094606542883,0.6176470588235294,0.5814393939393938,0.6176470588235294
25%,0.6556776556776557,0.6470588235294117,0.6421052631578947,0.6470588235294118
50%,0.6585609593604265,0.6470588235294117,0.6451402478799739,0.6470588235294118
75%,0.6706908917045182,0.6544117647058824,0.6459706452506231,0.6544117647058824
max,0.6798941798941799,0.6544117647058824,0.6521360544217687,0.6544117647058824
