,p,r,f,acc
0,0.5354166666666667,0.5147058823529412,0.4316109422492401,0.5147058823529411
1,0.5713286713286714,0.5441176470588235,0.4960554625866602,0.5441176470588235
2,0.6837837837837838,0.6102941176470589,0.56700907070343,0.6102941176470589
3,0.529642545771578,0.5294117647058824,0.5284940411700975,0.5294117647058824
4,0.69921875,0.5441176470588236,0.4339419978517723,0.5441176470588235
count,5.0,5.0,5.0,5.0
mean,0.6038780835101399,0.5485294117647059,0.49142230291224004,0.5485294117647058
std,0.08174978366310906,0.0366173517587904,0.05914077219936962,0.036617351758790426
min,0.529642545771578,0.5147058823529412,0.4316109422492401,0.5147058823529411
25%,0.5354166666666667,0.5294117647058824,0.4339419978517723,0.5294117647058824
50%,0.5713286713286714,0.5441176470588235,0.4960554625866602,0.5441176470588235
75%,0.6837837837837838,0.5441176470588236,0.5284940411700975,0.5441176470588235
max,0.69921875,0.6102941176470589,0.56700907070343,0.6102941176470589
